check_group,route,target_url,artifact,status,actual_outcome,notes
sitemap-url,/understanding-locale-fallback-in-sfcc/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/three-things-to-secure-sfcc/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/sfcc-24-1-release-a-new-year-update/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/a-beginners-guide-to-webdav-in-sfcc/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/the-move-from-sitegenesis-and-sfra-to-the-composable-storefront-as-a-developer/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/unravelling-the-mystery-of-dates-in-the-ocapi/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/why-circumventing-sfcc-quota-limits-is-a-bad-idea/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/leveraging-generic-mappings-in-sfcc/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/slicing-versus-variation-groups-in-sfcc/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/new-apis-and-features-for-a-headless-sfcc/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/life-is-about-choices/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/getting-to-know-sfra-as-a-developer/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/an-overview-of-sfcc-global-functions/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/custom-preferences-in-sfcc/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
